HUMAN	MOUSE
ABLIM1	Ablim1
ABLIM2	Ablim2
ABLIM3	Ablim3
ABO	Abo
ABP1	Abp1
ABRA	Abra
ABR	Abr
ABRACL	3110003A17Rik
ABT1	Abt1
ABTB1	Abtb1
ABTB2	Abtb2
ACAA1	Acaa1a
ACAA2	Acaa2
ACACA	Acaca
ACACB	Acacb
ACAD10	Acad10
ACAD11	Acad11
ACAD8	Acad8
ACAD9	Acad9
ACADL	Acadl
ACADM	Acadm
ACADS	Acads
ACADSB	Acadsb
ACADVL	Acadvl
ACAN	Acan
ACAP1	Acap1
ACAP2	Acap2
ACAP3	Acap3
ACAT1	Acat1
ACAT2	Acat2
ACBD3	Acbd3
ACBD4	Acbd4
ACBD5	Acbd5
ACBD6	Acbd6
ACBD7	9230116B18Rik
ACCN1	Accn1
ACCN3	Accn3
ACCN4	Accn4
ACCN5	Accn5
ACCS	Accs
ACCSL	Accsl
ACD	Acd
ACE2	Ace2
ACE	Ace
ACER1	Acer1
ACER2	Acer2
ACER3	Acer3
ACHE	Ache
ACIN1	Acin1
ACLY	Acly
ACMSD	Acmsd
ACN9	Acn9
ACO1	Aco1
ACO2	Aco2
ACOT11	Acot11
ACOT12	Acot12
ACOT13	Acot13
ACOT1	Acot3
ACOT2	Acot1
ACOT4	Acot4
ACOT6	Acot6
ACOT7	Acot7
ACOT8	Acot8
ACOT9	Acot9
ACOX1	Acox1
ACOX2	Acox2
ACOX3	Acox3
ACOXL	Acoxl
ACP1	Acp1
ACP2	Acp2
ACP5	Acp5
ACP6	Acp6
ACPL2	Acpl2
ACPP	Acpp
ACPT	Acpt
ACR	Acr
ACRBP	Acrbp
ACRV1	Acrv1
ACSBG1	Acsbg1
ACSBG2	Acsbg2
ACSF2	Acsf2
ACSF3	Acsf3
ACSL1	Acsl1
ACSL3	Acsl3
ACSL4	Acsl4
ACSL5	Acsl5
ACSL6	Acsl6
ACSM1	Acsm1
ACSM2A	Acsm2
ACSM3	Acsm3
ACSM4	Acsm4
ACSM5	Acsm5
ACSS1	Acss1
ACSS2	Acss2
ACSS3	Acss3
ACTA1	Acta1
ACTA2	Acta2
ACTB	Actb
ACTBL2	Actbl2
ACTC1	Actc1
ACTG1	Actg1
ACTG2	Actg2
ACTL10	1700007I08Rik
ACTL6A	Actl6a
ACTL6B	Actl6b
ACTL7A	Actl7a
ACTL7B	Actl7b
ACTL8	Gm16385
ACTL9	Actl9
ACTN1	Actn1
ACTN2	Actn2
ACTN3	Actn3
ACTN4	Actn4
ACTR10	Actr10
ACTR1A	Actr1a
ACTR1B	Actr1b
ACTR2	Actr2
ACTR3	Actr3
ACTR3B	Actr3b
ACTR5	Actr5
ACTR6	Actr6
ACTR8	Actr8
ACTRT1	Actrt1
ACTRT2	Actrt2
ACTRT3	Arpm1
ACVR1	Acvr1
ACVR1B	Acvr1b
ACVR1C	Acvr1c
ACVR2A	Acvr2a
ACVR2B	Acvr2b
ACVRL1	Acvrl1
ACY1	Acy1
ACY3	Acy3
ACYP1	Acyp1
ACYP2	Acyp2
ADA	Ada
ADAD1	Adad1
ADAD2	Adad2
ADAL	Adal
ADAM10	Adam10
ADAM11	Adam11
ADAM12	Adam12
ADAM15	Adam15
ADAM17	Adam17
ADAM18	Adam18
ADAM19	Adam19
ADAM20	Adam20
ADAM21	Adam21
ADAM22	Adam22
ADAM23	Adam23
ADAM24P	Adam24
ADAM28	Adam28
ADAM29	Adam24
ADAM2	Adam2
ADAM30	Adam30
ADAM32	Adam32
ADAM33	Adam33
ADAM3A	Adam3
ADAM5P	Adam5
ADAM7	Adam7
ADAM8	Adam8
ADAM9	Adam9
ADAMDEC1	Adamdec1
ADAMTS10	Adamts10
ADAMTS12	Adamts12
ADAMTS13	Adamts13
ADAMTS14	Adamts14
ADAMTS15	Adamts15
ADAMTS16	Adamts16
ADAMTS17	Adamts17
ADAMTS18	Adamts18
ADAMTS19	Adamts19
ADAMTS1	Adamts1
ADAMTS20	Adamts20
ADAMTS2	Adamts2
ADAMTS3	Adamts3
ADAMTS4	Adamts4
ADAMTS5	Adamts5
ADAMTS6	Adamts6
ADAMTS7	Adamts7
ADAMTS8	Adamts8
ADAMTS9	Adamts9
ADAMTSL1	Adamtsl1
ADAMTSL2	Adamtsl2
ADAMTSL3	Adamtsl3
ADAMTSL4	Adamtsl4
ADAMTSL5	Adamtsl5
ADAP1	Adap1
ADAP2	Adap2
ADAR	Adar
ADARB1	Adarb1
ADARB2	Adarb2
ADAT1	Adat1
ADAT2	Adat2
ADAT3	Adat3
ADC	Adc
ADCK1	Adck1
ADCK2	Adck2
ADCK3	Adck3
ADCK4	Adck4
ADCK5	Adck5
ADCY10	Adcy10
ADCY1	Adcy1
ADCY2	Adcy2
ADCY3	Adcy3
ADCY4	Adcy4
ADCY5	Adcy5
ADCY6	Adcy6
ADCY7	Adcy7
ADCY8	Adcy8
ADCY9	Adcy9
ADCYAP1	Adcyap1
ADCYAP1R1	Adcyap1r1
ADD1	Add1
ADD2	Add2
ADD3	Add3
ADFP	Adfp
ADGB	9130014G24Rik
ADH1C	Adh1
ADH4	Adh4
ADH5	Adh5
ADH6	Adh6a
ADH7	Adh7
ADHFE1	Adhfe1
ADI1	Adi1
ADIG	Adig
ADIPOQ	Adipoq
ADIPOR1	Adipor1
ADIPOR2	Adipor2
ADK	Adk
ADM2	Adm2
ADM	Adm
ADMR	Admr
ADNP2	Adnp2
ADNP	Adnp
ADO	Ado
ADORA1	Adora1
ADORA2A	Adora2a
ADORA2B	Adora2b
ADORA3	Adora3
ADPGK	Adpgk
ADPRH	Adprh
ADPRHL1	Adprhl1
ADPRHL2	Adprhl2
ADPRM	2310004I24Rik
ADRA1A	Adra1a
ADRA1B	Adra1b
ADRA1D	Adra1d
ADRA2A	Adra2a
ADRA2B	Adra2b
ADRA2C	Adra2c
ADRB1	Adrb1
ADRB2	Adrb2
ADRB3	Adrb3
ADRBK1	Adrbk1
ADRBK2	Adrbk2
ADRM1	Adrm1
ADSL	Adsl
ADSS	Adss
ADSSL1	Adssl1
ADTRP	9530008L14Rik
AEBP1	Aebp1
AEBP2	Aebp2
AEN	Aen
AES	Aes
AF007149	2810459M11Rik
AF038183	D15Wsu75e
AF038201	9630041G16Rik
AF052174	5530401J07Rik
AF070564	2810449C10Rik
AF085879	1200013P24Rik
AF086098	2810459M11Rik
AF086216	MMT00053719
AF086294	MMS010211961
AF088040	2810013P06Rik
AF088056	2410002O22Rik
AF088735	XM_359322
AF090913	Tmsb10
AF111801	AI429294
AF116728	Tas2r120
AF130048	MMT00017044
AF131783	4833424O15Rik
AF131813	4933439F11Rik
AF131815	9530066K23Rik
AF131819	mCT184896
AF143872	AK029363
AF161386	1110001J03Rik
AF161441	2210404O07Rik
AF244571	MMT00036814
AF274937	B630005N14Rik
AF318328	MMT00054490
AFAP1	Afap1
AFAP1L1	Afap1l1
AFAP1L2	Afap1l2
AFF1	Aff1
AFF2	Aff2
AFF3	Aff3
AFF4	Aff4
AFG3L1	Afg3l1
AFG3L2	Afg3l2
AFM	Afm
AFMID	Afmid
AFP	Afp
AFTPH	Aftph
AGA	Aga
AGAP1	Agap1
AGAP2	Agap2
AGAP3	Agap3
AGBL1	Agbl1
AGBL2	Agbl2
AGBL3	Agbl3
AGBL4	Agbl4
AGBL5	Agbl5
AGC1	Agc1
AGER	Ager
AGFG1	Agfg1
AGFG2	Agfg2
AGGF1	Aggf1
AGK	Agk
AGL	Agl
AGMAT	Agmat
AGMO	Agmo
AGPAT1	Agpat1
AGPAT2	Agpat2
AGPAT3	Agpat3
AGPAT4	Agpat4
AGPAT5	Agpat5
AGPAT6	Agpat6
AGPAT7	Agpat7
AGPAT9	Agpat9
AGPHD1	Agphd1
AGPS	Agps
AGR2	Agr2
AGR3	Agr3
AGRN	Agrn
AGRP	Agrp
AGT	Agt
AGTPBP1	Agtpbp1
AGTR1	Agtr1a
AGTR2	Agtr2
AGTRAP	Agtrap
AGTRL1	Agtrl1
AGXT2	Agxt2
AGXT2L1	Agxt2l1
AGXT2L2	2900006B13Rik
AGXT	Agxt
AHCTF1	Ahctf1
AHCY	Ahcy
AHCYL1	Ahcyl1
AHCYL2	Ahcyl2
AHDC1	Ahdc1
AHI1	Ahi1
AHNAK	Ahnak
AHR	Ahr
AHRR	Ahrr
AHSA1	Ahsa1
AHSG	Ahsg
AHSP	Ahsp
AI684822	Tbrg3
AI685170_RC	5730470L24Rik
AI765621	1700012B09Rik
AI912585	Il21
AICDA	Aicda
AIDA	Aida
AIF1	Aif1
AIF1L	Aif1l
AIFM1	Aifm1
AIFM2	Aifm2
AIFM3	Aifm3
AIG1	Aig1
AIM1	Aim1
AIM1L	Aim1l
AIM2	Aim2
AIMP1	Aimp1
AIMP2	Aimp2
AIP	Aip
AIPL1	Aipl1
AIRE	Aire
AIRN	Airn
AJAP1	Ajap1
AJUBA	Jub
AK000539	AW146242
AK000819	XM_354959
AK000872	B130024G19Rik
AK000877	2700045P11Rik
AK000957	9330168O09Rik
AK001875	A230060L24Rik
AK001903	MMS010230831
AK021549	A530088H08Rik
AK021715	1110001P04Rik
AK022173	5330403D14Rik
AK022347	9030425L15Rik
AK022898	AK087483
AK023027	2810011L19Rik
AK023055	BC062109
AK023134	2410004F06Rik
AK023244	AB112350
AK023367	4930430E16Rik
AK023584	3110035C09Rik
AK023682	AK003987
AK024092	1810026B05Rik
AK024440	Oxct2a
AK024779	2410089E03Rik
AK024947	D930021H04Rik
AK025100	1110059G02Rik
AK025205	9130213B05Rik
AK025324	MMT00027084
AK025621	4930528A17Rik
AK025703	1810037I17Rik
AK026304	3110079O15Rik
AK026328	2010003K11Rik
AK026416	EG433023
AK026763	MMS010208429
AK026805	Gm1574
AK027311	9630031F12Rik
AK054808	6330514A18Rik
AK054890	MMT00069918
AK055036	5031426D15Rik
AK055125	C030002O17Rik
AK055200	C630028L02Rik
AK055260	Gm1082
AK055335	4930432E11Rik
AK055364	4922502B01Rik
AK055378	4121402D02Rik
AK055386	AI852064
AK055529	Dexi
AK055604	A930016P21Rik
AK055620	5830454D03Rik
AK055653	Rpl35a
AK055808	1810012P15Rik
AK055841	D630002J15Rik
AK055998	MMS010206008
AK056003	AI836003
AK056142	ENSMUST00000034340
AK056318	MMT00021892
AK056572	4930482G09Rik
AK056723	5430416O09Rik
AK057438	Msr2
AK057562	Gm853
AK057874	4732496C06Rik
AK057925	D11Ertd497e
AK057980	E030049G20Rik
AK058162	C330024D12Rik
AK091086	AI593442
AK091866	5430425K12Rik
AK092138	MMT00014556
AK092250	BC027072
AK092393	AK017409
AK092524	BC052486
AK092579	2810004A10Rik
AK092769	A130013F12Rik
AK093353	Atf4
AK093496	BC048679
AK094068	1700058C01Rik
AK094270	Gm273
AK094335	BC017133
AK094533	MMT00054385
AK094561	MMT00054852
AK094767	2310007L24Rik
AK094857	6430598A04Rik
AK095013	AV344025
AK095208	Cd24a
AK095365	Tspan11
AK095500	A730054J21Rik
AK095515	Ifit1
AK095567	C730027E14Rik
AK095766	A030009H04Rik
AK095779	D130079A08Rik
AK095844	C030011L09Rik
AK095913	A530016L24Rik
AK096522	Gm912
AK096649	9130024F11Rik
AK096701	1110003F05Rik
AK097393	1700034K16Rik
AK097419	BC061039
AK097471	Iqcf3
AK097541	4921507L20Rik
AK097854	1700021N20Rik
AK098530	4930563P21Rik
AK098583	MMT00060346
AK098644	D130059P03Rik
AK098740	5133400G04Rik
AK129836	Rpl23
AK1	Ak1
AK2	Ak2
AK3	Ak3
AK3L1	Ak3l1
AK4	Ak4
AK5	Ak5
AK7	Ak7
AK8	Ak8
AKAP10	Akap10
AKAP11	Akap11
AKAP12	Akap12
AKAP13	Akap13
AKAP14	Akap14
AKAP1	Akap1
AKAP2	Akap2
AKAP3	Akap3
AKAP4	Akap4
AKAP5	Akap5
AKAP6	Akap6
AKAP7	Akap7
AKAP8	Akap8
AKAP8L	Akap8l
AKAP9	Akap9
AKD1	Akd1
AKIP1	D930014E17Rik
AKIRIN1	Akirin1
AKIRIN2	Akirin2
AKNA	AI597013
AKNAD1	Aknad1
AKR1A1	Akr1a1
AKR1B10	Akr1b8
AKR1B1	Akr1b3
AKR1C1	Akr1c6
AKR1C2	Akr1c21
AKR1C3	Akr1c18
AKR1CL2	Akr1e1
AKR1D1	Akr1d1
AKR1E2	Akr1e1
AKR7A2	Akr7a5
AKT1	Akt1
AKT1S1	Akt1s1
AKT2	Akt2
AKT3	Akt3
AKTIP	Aktip
AL049447	2310016E02Rik
AL049450	4121402D02Rik
AL050125	MMT00024560
AL079277	A530088I07Rik
AL080065	BC035537
AL080082	BB001228
AL109678	B230218L05Rik
AL109700	A330068G13Rik
AL110138	C530008M17Rik
AL110139	A830073O21Rik
AL117474	D730039F16Rik
AL117519	D630040G17Rik
AL117623	Fbxl20
AL117636	AK082203
AL122109	Gm166
AL133047	Sh3d19
AL133090	2900022I03Rik
AL137259	Hydin
AL137347	C230078M08Rik
AL137364	D030011O10Rik
AL137406	BC043098
AL137416	MMT00051219
AL137491	MMT00002909
AL359586	Gtlf3b
AL359605	A930009E05Rik
AL390079	2210412D01Rik
AL390084	MMT00080355
AL832149	9430093I07Rik
AL832297	Zfp81
AL832729	MMS010100057
AL833108	Srd5a2l2
AL833646	MMT00081835
AL834446	2810030E01Rik
ALAD	Alad
ALAS1	Alas1
ALAS2	Alas2
ALB	Alb
ALCAM	Alcam
ALDH16A1	Aldh16a1
ALDH18A1	Aldh18a1
ALDH1A1	Aldh1a1
ALDH1A2	Aldh1a2
ALDH1A3	Aldh1a3
ALDH1B1	Aldh1b1
ALDH1L1	Aldh1l1
ALDH1L2	Aldh1l2
ALDH2	Aldh2
ALDH3A1	Aldh3a1
ALDH3A2	Aldh3a2
ALDH3B1	Aldh3b1
ALDH3B2	Aldh3b2
ALDH4A1	Aldh4a1
ALDH5A1	Aldh5a1
ALDH6A1	Aldh6a1
ALDH7A1	Aldh7a1
ALDH8A1	Aldh8a1
ALDH9A1	Aldh9a1
ALDOA	Aldoa
ALDOAP2	Aldoart2
ALDOB	Aldob
ALDOC	Aldoc
ALG10	Alg10b
ALG11	Alg11
ALG12	Alg12
ALG13	Alg13
ALG14	Alg14
ALG1	Alg1
ALG2	Alg2
ALG3	Alg3
ALG5	Alg5
ALG6	Alg6
ALG8	Alg8
ALG9	Alg9
ALK	Alk
ALKBH1	Alkbh1
ALKBH2	Alkbh2
ALKBH3	Alkbh3
ALKBH4	Alkbh4
ALKBH5	Alkbh5
ALKBH6	Alkbh6
ALKBH7	Alkbh7
ALKBH8	Alkbh8
ALLC	Allc
ALMS1	Alms1
ALOX12	Alox12
ALOX12B	Alox12b
ALOX12P2	Alox12e
ALOX15	Alox15
ALOX15B	Alox8
ALOX5	Alox5
ALOX5AP	Alox5ap
ALOXE3	Aloxe3
ALPI	Akp3
ALPK1	Alpk1
ALPK2	Alpk2
ALPK3	Alpk3
ALPL	Akp2
ALPP	Alppl2
ALS2	Als2
ALS2CL	Als2cl
ALS2CR11	Als2cr11
ALS2CR12	Als2cr12
ALS2CR13	Als2cr13
ALS2CR16	Nbeal1
ALS2CR2	Als2cr2
ALS2CR4	Als2cr4
ALS2CR8	Carf
ALX1	Alx1
ALX3	Alx3
ALX4	Alx4
ALYREF	Alyref
AMAC1	Amac1
AMACR	Amacr
AMBN	Ambn
AMBP	Ambp
AMBRA1	Ambra1
AMD1	Amd1
AMDHD1	Amdhd1
AMDHD2	Amdhd2
AMELX	Amelx
AMFR	Amfr
AMH	Amh
AMHR2	Amhr2
AMICA1	Amica1
AMID	Amid
AMIGO1	Amigo1
AMIGO2	Amigo2
AMIGO3	Amigo3
AMMECR1	Ammecr1
AMMECR1L	Ammecr1l
AMN1	Amn1
AMN	Amn
AMOT	Amot
AMOTL1	Amotl1
AMOTL2	Amotl2
AMPD1	Ampd1
AMPD2	Ampd2
AMPD3	Ampd3
AMPH	Amph
AMT	Amt
AMTN	Amtn
AMY1A	Amy1
AMY2A	Amy2a5
AMY2B	Amy1
AMZ1	Amz1
AMZ2	Amz2
ANAPC10	Anapc10
ANAPC11	Anapc11
ANAPC13	Anapc13
ANAPC15	3200002M19Rik
ANAPC16	Anapc16
ANAPC1	Anapc1
ANAPC2	Anapc2
ANAPC4	Anapc4
ANAPC5	Anapc5
ANAPC7	Anapc7
ANG	Ang
ANGEL1	Angel1
ANGEL2	Angel2
ANGPT1	Angpt1
ANGPT2	Angpt2
ANGPT4	Angpt4
ANGPTL1	Angptl1
ANGPTL2	Angptl2
ANGPTL3	Angptl3
ANGPTL4	Angptl4
ANGPTL5	MMT00013560
ANGPTL6	Angptl6
ANGPTL7	Angptl7
ANK1	Ank1
ANK2	Ank2
ANK3	Ank3
ANKAR	Ankar
ANKDD1A	Ankdd1a
ANKDD1B	Ankdd1b
ANKFN1	Ankfn1
ANKFY1	Ankfy1
ANKH	Ank
ANKHD1	Ankhd1
ANKHD1-EIF4EBP3	Maskbp3
ANKIB1	Ankib1
ANKK1	Ankk1
ANKLE1	Ankle1
ANKLE2	Ankle2
ANKMY1	Ankmy1
ANKMY2	Ankmy2
ANKRA2	Ankra2
ANKRD10	Ankrd10
ANKRD11	Ankrd11
ANKRD12	Ankrd12
ANKRD13A	Ankrd13a
ANKRD13B	Ankrd13b
ANKRD13C	Ankrd13c
ANKRD13D	Ankrd13d
ANKRD15	Ankrd15
ANKRD16	Ankrd16
ANKRD17	Ankrd17
ANKRD1	Ankrd1
ANKRD22	Ankrd22
ANKRD23	Ankrd23
ANKRD24	Ankrd24
ANKRD25	Ankrd25
ANKRD26	Ankrd26
ANKRD27	Ankrd27
ANKRD28	Ankrd28
ANKRD29	Ankrd29
ANKRD2	Ankrd2
ANKRD31	Ankrd31
ANKRD32	Ankrd32
ANKRD33	Ankrd33
ANKRD33B	Ankrd33b
ANKRD34A	Ankrd34a
ANKRD34B	Ankrd34b
ANKRD34C	Ankrd34c
ANKRD35	Ankrd35
ANKRD37	Ankrd37
ANKRD38	Ankrd38
ANKRD39	Ankrd39
ANKRD40	Ankrd40
ANKRD41	Ankrd41
ANKRD42	Ankrd42
ANKRD43	Ankrd43
ANKRD44	Ankrd44
ANKRD45	Ankrd45
ANKRD46	Ankrd46
ANKRD47	Ankrd47
ANKRD49	Ankrd49
ANKRD50	Ankrd50
ANKRD52	Ankrd52
ANKRD53	Ankrd53
ANKRD54	Ankrd54
ANKRD55	Ankrd55
ANKRD56	Ankrd56
ANKRD57	Ankrd57
ANKRD58	Ankrd58
ANKRD5	Ankrd5
ANKRD60	Ankrd60
ANKRD61	Ankrd61
ANKRD63	Gm1337
ANKRD65	E230028L10Rik
ANKRD6	Ankrd6
ANKRD7	4930532L20Rik
ANKRD9	Ankrd9
ANKS1A	Anks1
ANKS1B	Anks1b
ANKS3	Anks3
ANKS4B	Anks4b
ANKS6	Anks6
ANKUB1	Gm410
ANKZF1	Ankzf1
ANLN	Anln
ANO10	Ano10
ANO1	Ano1
ANO2	Ano2
ANO3	Ano3
ANO4	Ano4
ANO5	Ano5
ANO6	Ano6
ANO7	Ano7
ANO8	Ano8
ANO9	Ano9
ANP32A	Anp32a
ANP32B	Anp32b
ANP32BP1	Anp32b-ps1
ANP32C	Anp32-ps
ANP32E	Anp32e
ANPEP	Anpep
ANTXR1	Antxr1
ANTXR2	Antxr2
ANTXRL	Antxrl
ANUBL1	Anubl1
ANXA10	Anxa10
ANXA11	Anxa11
ANXA13	Anxa13
ANXA1	Anxa1
ANXA2	Anxa2
ANXA3	Anxa3
ANXA4	Anxa4
ANXA5	Anxa5
ANXA6	Anxa6
ANXA7	Anxa7
ANXA8	Anxa8
ANXA9	Anxa9
AOAH	Aoah
AOC2	Aoc2
AOC3	Aoc3
AOF1	Aof1
AOF2	Aof2
AOX1	Aox1
AOX2	MMT00000549
AOX2P	Aox3l1
AP1AR	Ap1ar
AP1B1	Ap1b1
AP1G1	Ap1g1
AP1G2	Ap1g2
AP1GBP1	Ap1gbp1
AP1M1	Ap1m1
AP1M2	Ap1m2
AP1S1	Ap1s1
AP1S2	Ap1s2
AP1S3	Ap1s3
AP2A1	Ap2a1
AP2A2	Ap2a2
AP2B1	Ap2b1
AP2M1	Ap2m1
AP2S1	Ap2s1
AP3B1	Ap3b1
AP3B2	Ap3b2
AP3D1	Ap3d1
AP3M1	Ap3m1
AP3M2	Ap3m2
AP3S1	Ap3s1
AP3S2	Ap3s2
AP4B1	Ap4b1
AP4E1	Ap4e1
AP4M1	Ap4m1
AP4S1	Ap4s1
AP5B1	Gm962
AP5M1	Mudeng
AP5S1	2310035K24Rik
AP5Z1	C330006K01Rik
APAF1	Apaf1
APBA1	Apba1
APBA2	Apba2
APBA2BP	Apba2bp
APBA3	Apba3
APBB1	Apbb1
APBB1IP	Apbb1ip
APBB2	Apbb2
APBB3	Apbb3
APC2	Apc2
APC	Apc
APCDD1	Apcdd1
APCS	Apcs
APEH	Apeh
APEX1	Apex1
APEX2	Apex2
APH1A	Aph1a
APH1B	Aph1b
API5	Api5
APIP	Apip
APITD1	2610040C18Rik
APLF	Aplf
APLN	Apln
APLNR	Aplnr
APLP1	Aplp1
APLP2	Aplp2
APMAP	2310001A20Rik
APOA1	Apoa1
APOA1BP	Apoa1bp
APOA2	Apoa2
APOA4	Apoa4
APOA5	Apoa5
APOB	Apob
APOBEC1	Apobec1
APOBEC2	Apobec2
APOBEC3B	Apobec3
APOBEC4	Apobec4
APOBR	Apobr
APOC1	Apoc1
APOC2	Apoc2
APOC3	Apoc3
APOC4	Apoc4
APOD	Apod
APOE	Apoe
APOF	Apof
APOH	Apoh
APOL2	Apol2
APOL3	Apol7b
APOL5	2210421G13Rik
APOL6	Apol6
APOLD1	Apold1
APOM	Apom
APOO	Apoo
APOOL	Apool
APOPT1	2810002N01Rik
APP	App
APPBP1	Appbp1
APPBP2	Appbp2
APPL1	Appl1
APPL2	Appl2
APRIN	Aprin
APRT	Aprt
APTX	Aptx
AQP10	ENSMUST00000057547
AQP11	Aqp11
AQP12A	Aqp12
AQP1	Aqp1
AQP2	Aqp2
AQP3	Aqp3
AQP4	Aqp4
AQP5	Aqp5
AQP6	Aqp6
AQP7	Aqp7
AQP8	Aqp8
AQP9	Aqp9
AQPEP	4833403I15Rik
AQR	Aqr
ARAF	Araf
ARAP1	Arap1
ARAP2	Arap2
ARAP3	Arap3
AR	Ar
ARC	Arc
ARCN1	Arcn1
ARD1A	Ard1
AREG	Areg
ARF1	Arf1
ARF3	Arf3
ARF4	Arf4
ARF5	Arf5
ARF6	Arf6
ARFGAP1	Arfgap1
ARFGAP2	Arfgap2
ARFGAP3	Arfgap3
ARFGEF1	Arfgef1
ARFGEF2	Arfgef2
ARFIP1	Arfip1
ARFIP2	Arfip2
ARFRP1	Arfrp1
ARG1	Arg1
ARG2	Arg2
ARGLU1	Arglu1
ARHGAP10	Arhgap10
ARHGAP11A	Arhgap11a
ARHGAP12	Arhgap12
ARHGAP15	Arhgap15
ARHGAP17	Arhgap17
ARHGAP18	Arhgap18
ARHGAP19	Arhgap19
ARHGAP1	Arhgap1
ARHGAP20	Arhgap20
ARHGAP21	Arhgap21
ARHGAP22	Arhgap22
ARHGAP23	Arhgap23
ARHGAP24	Arhgap24
ARHGAP25	Arhgap25
ARHGAP26	Arhgap26
ARHGAP27	Arhgap27
ARHGAP28	Arhgap28
ARHGAP29	Arhgap29
ARHGAP30	Arhgap30
ARHGAP31	Arhgap31
ARHGAP32	Arhgap32
ARHGAP33	Arhgap33
ARHGAP35	Grlf1
ARHGAP36	Arhgap36
ARHGAP39	Arhgap39
ARHGAP40	Arhgap40
ARHGAP42	Arhgap42
ARHGAP44	Arhgap44
ARHGAP4	Arhgap4
ARHGAP5	Arhgap5
ARHGAP6	Arhgap6
ARHGAP8	Arhgap8
ARHGAP9	Arhgap9
ARHGDIA	Arhgdia
ARHGDIB	Arhgdib
ARHGDIG	Arhgdig
ARHGEF10	Arhgef10
ARHGEF10L	Arhgef10l
ARHGEF11	Arhgef11
ARHGEF12	Arhgef12
ARHGEF15	Arhgef15
ARHGEF16	Arhgef16
ARHGEF17	Arhgef17
ARHGEF18	Arhgef18
ARHGEF19	Arhgef19
ARHGEF1	Arhgef1
ARHGEF25	Arhgef25
ARHGEF26	Arhgef26
ARHGEF2	Arhgef2
ARHGEF33	Arhgef33
